category,before_match,break,character_data,final_round,lose,round_one,round_two,win,player_standings,select_character,story,training,trials
badp,0,0,0,0,8,1,1,1,0,0,6,0,9
caction,10,16,0,27,14,9,15,14,0,0,0,11,0
cdesign,15,10,25,9,3,16,10,8,0,6,19,20,45
cinfo,29,18,50,14,19,21,27,33,0,56,45,31,18
comment,1,3,0,9,0,1,1,3,0,0,0,5,0
game,0,8,0,14,8,10,9,5,100,11,0,8,0
goodp,18,3,13,0,5,3,6,3,0,0,4,3,0
other,19,28,13,9,27,22,19,21,0,11,21,8,9
question,1,7,0,5,3,9,5,6,0,11,2,7,18
request,6,7,0,14,14,10,7,5,0,6,4,7,0
