CHARACTER_FANS,before_match,break,character_data,final_round,lose,round_one,round_two,win,player_standings,select_character,story,training,trials
badp,0,0,0,0,8,1,1,1,0,0,6,0,9
caction,10,16,0,27,14,9,15,14,0,0,0,11,0
cdesign,15,10,25,9,3,16,10,8,0,6,19,20,45
cinfo,29,18,50,14,19,21,27,33,0,56,45,31,18
comment,1,3,0,9,0,1,1,3,0,0,0,5,0
game,0,8,0,14,8,10,9,5,100,11,0,8,0
goodp,18,3,13,0,5,3,6,3,0,0,4,3,0
other,19,28,13,9,27,22,19,21,0,11,21,8,9
question,1,7,0,5,3,9,5,6,0,11,2,7,18
request,6,7,0,14,14,10,7,5,0,6,4,7,0
,,,,,,,,,,,,,
REQUESTER,,,,,,,,,,,,,
badp,0,0,0,0,6.25,0,0,0,0,0,0,0,0
caction,5.26315789473684,0,0,0,6.25,6.45161290322581,12,15.7894736842105,0,0,0,0,0
cdesign,5.26315789473684,0,0,0,6.25,12.9032258064516,4,0,0,0,0,0,0
cinfo,10.5263157894737,0,0,0,12.5,9.67741935483871,8,0,0,0,50,0,0
comment,0,0,0,0,0,0,4,5.26315789473684,0,0,0,0,0
game,0,0,0,0,0,0,8,15.7894736842105,0,0,0,0,0
goodp,10.5263157894737,8.69565217391304,0,0,6.25,0,4,5.26315789473684,0,0,0,0,0
other,21.0526315789474,34.7826086956522,0,50,6.25,25.8064516129032,16,26.3157894736842,0,0,50,0,0
question,0,0,0,25,12.5,3.2258064516129,0,10.5263157894737,0,0,0,0,0
request,47.3684210526316,56.5217391304348,0,25,43.75,41.9354838709677,44,21.0526315789474,0,0,0,100,0
,,,,,,,,,,,,,
GAME FANS,,,,,,,,,,,,,
badp,0,0,0,0,4.87804878048781,0.662251655629139,1.61290322580645,1.94174757281553,0,0,0,0,5.88235294117647
caction,2.35294117647059,0,0,0,4.87804878048781,2.64900662251656,5.64516129032258,8.7378640776699,0,0,6.89655172413793,4,5.88235294117647
cdesign,4.70588235294118,4.65116279069768,11.1111111111111,0,4.87804878048781,1.98675496688742,10.4838709677419,4.85436893203883,0,0,17.2413793103448,6,29.4117647058824
cinfo,7.05882352941176,16.2790697674419,11.1111111111111,0,7.31707317073171,7.94701986754967,8.87096774193548,5.8252427184466,0,13.6363636363636,13.7931034482759,6,5.88235294117647
comment,1.17647058823529,6.97674418604651,0,8,2.4390243902439,3.3112582781457,0.806451612903226,1.94174757281553,0,0,0,0,0
game,47.0588235294118,37.2093023255814,55.5555555555556,48,19.5121951219512,43.046357615894,33.8709677419355,37.8640776699029,33.3333333333333,63.6363636363636,27.5862068965517,46,29.4117647058824
goodp,0,2.32558139534884,0,16,12.1951219512195,2.64900662251656,2.41935483870968,4.85436893203883,0,0,0,0,0
other,27.0588235294118,30.2325581395349,22.2222222222222,28,36.5853658536585,29.8013245033113,29.0322580645161,24.2718446601942,33.3333333333333,4.54545454545455,24.1379310344828,0,17.6470588235294
question,7.05882352941176,2.32558139534884,0,0,4.87804878048781,5.29801324503311,4.03225806451613,6.79611650485437,0,13.6363636363636,10.3448275862069,10,5.88235294117647
request,3.52941176470588,0,0,0,2.4390243902439,2.64900662251656,3.2258064516129,2.9126213592233,33.3333333333333,4.54545454545455,0,2,0
